SUPPORTED TOOLS
===============

@angular/cli
------------
  19.0.1       - PRO: ✔️, COMMUNITY: ✗ (ETA: around 2025-01-21)
  19.0.0       - PRO: ✔️, COMMUNITY: ✗ (ETA: around 2025-01-19)
  18.2.0       - PRO: ✔️, COMMUNITY: ✗ (ETA: around 2024-10-14)
  18.1.4       - PRO: ✔️, COMMUNITY: ✔️
  18.1.3       - PRO: ✔️, COMMUNITY: ✔️
  18.1.2       - PRO: ✔️, COMMUNITY: ✔️
  18.1.1       - PRO: ✔️, COMMUNITY: ✔️
  18.1.0       - PRO: ✔️, COMMUNITY: ✔️
  18.0.7       - PRO: ✔️, COMMUNITY: ✔️
  18.0.6       - PRO: ✔️, COMMUNITY: ✔️
  18.0.5       - PRO: ✔️, COMMUNITY: ✔️
  18.0.4       - PRO: ✔️, COMMUNITY: ✔️
  18.0.3       - PRO: ✔️, COMMUNITY: ✔️
  18.0.2       - PRO: ✔️, COMMUNITY: ✔️
  18.0.1       - PRO: ✔️, COMMUNITY: ✔️
  18.0.0       - PRO: ✔️, COMMUNITY: ✔️
  17.3.11      - PRO: ✔️, COMMUNITY: ✗ (ETA: around 2024-12-23)
  17.3.10      - PRO: ✔️, COMMUNITY: ✔️
  17.3.9       - PRO: ✔️, COMMUNITY: ✔️
  17.3.8       - PRO: ✔️, COMMUNITY: ✔️
  17.3.7       - PRO: ✔️, COMMUNITY: ✔️
  17.3.6       - PRO: ✔️, COMMUNITY: ✔️
  17.3.5       - PRO: ✔️, COMMUNITY: ✔️
  17.3.4       - PRO: ✔️, COMMUNITY: ✔️
  17.3.3       - PRO: ✔️, COMMUNITY: ✔️
  17.3.2       - PRO: ✔️, COMMUNITY: ✔️
  17.3.1       - PRO: ✔️, COMMUNITY: ✔️
  17.3.0       - PRO: ✔️, COMMUNITY: ✔️
  17.2.3       - PRO: ✔️, COMMUNITY: ✔️
  17.2.2       - PRO: ✔️, COMMUNITY: ✔️
  17.2.1       - PRO: ✔️, COMMUNITY: ✔️
  17.2.0       - PRO: ✔️, COMMUNITY: ✔️
  17.1.4       - PRO: ✔️, COMMUNITY: ✔️
  17.1.3       - PRO: ✔️, COMMUNITY: ✔️
  17.1.2       - PRO: ✔️, COMMUNITY: ✔️
  17.1.1       - PRO: ✔️, COMMUNITY: ✔️
  17.1.0       - PRO: ✔️, COMMUNITY: ✔️
  17.0.10      - PRO: ✔️, COMMUNITY: ✔️
  17.0.9       - PRO: ✔️, COMMUNITY: ✔️
  17.0.8       - PRO: ✔️, COMMUNITY: ✔️
  17.0.7       - PRO: ✔️, COMMUNITY: ✔️
  17.0.6       - PRO: ✔️, COMMUNITY: ✔️
  17.0.5       - PRO: ✔️, COMMUNITY: ✔️
  17.0.4       - PRO: ✔️, COMMUNITY: ✔️
  17.0.3       - PRO: ✔️, COMMUNITY: ✔️
  17.0.2       - PRO: ✔️, COMMUNITY: ✔️
  17.0.1       - PRO: ✔️, COMMUNITY: ✔️
  17.0.0       - PRO: ✔️, COMMUNITY: ✔️
  16.2.16      - PRO: ✔️, COMMUNITY: ✔️
  16.2.15      - PRO: ✔️, COMMUNITY: ✔️
