scope	file	lines	bytes	setopt	compinit	alias	bindkey	zstyle	functions
active	00_20-plugin-integrity-core.zsh	     233	    8523	0	0	0	0	0	6
active	00_21-plugin-integrity-advanced.zsh	     316	   11025	0	0	0	0	0	7
active	00_60-options.zsh	     150	   10401	1	0	0	0	0	0
active	20_04-essential.zsh	      94	    3203	1	0	0	0	0	0
active	30_30-prompt.zsh	     173	    4807	1	0	0	0	1	1
disabled	00_00-.zshrc.zqs.zsh	     987	   35863	1	0	1	1	1	24
disabled	00_02-standard-helpers.zsh	     481	   15209	0	0	0	0	0	21
disabled	00_04-unified-logging.zsh	     112	    3837	0	0	0	0	0	14
disabled	00_10-environment.zsh	      44	    1829	0	0	0	0	0	0
disabled	00_12-source-execute-detection.zsh	     425	   14021	0	0	0	0	0	13
disabled	00_14-git-homebrew-priority.zsh	      93	    3470	0	0	0	0	0	0
disabled	00_20-completion-management.zsh	     378	   13745	0	1	0	0	1	4
disabled	00_22-async-cache.zsh	     502	   16669	0	0	0	0	0	11
disabled	00_28-completion-finalization.zsh	      22	     561	0	1	0	0	0	0
disabled	00_30-performance-monitoring.zsh	     580	   20818	0	0	0	0	0	9
disabled	00_40-review-cycles.zsh	     544	   20175	0	0	0	0	0	7
disabled	00_50-environment-sanitization.zsh	     396	   13969	0	0	0	0	0	8
disabled	00_70-functions-core.zsh	     101	    3065	1	0	0	0	0	6
disabled	00_72-utility-functions.zsh	     399	   11622	0	0	1	0	0	0
disabled	00_74-tool-functions.zsh	     183	    5753	0	0	0	0	0	13
disabled	00_76-context-aware-config.zsh	     515	   17702	0	0	0	0	0	7
disabled	00_80-security-check.zsh	     451	   16166	1	0	0	0	0	8
disabled	00_90-validation.zsh	     399	   14160	0	0	0	0	0	7
disabled	10_00-development-tools.zsh	     252	    8232	0	0	0	0	0	0
disabled	10_10-path-tools.zsh	      60	    1783	0	0	0	0	0	0
disabled	10_12-tool-environments.zsh	     323	   10447	0	0	0	0	0	0
disabled	10_14-git-vcs-config.zsh	     245	    8757	0	0	0	0	0	0
disabled	10_16-atuin-init.zsh	     127	    3833	0	0	0	1	0	9
disabled	10_50-development.zsh	      92	    3185	0	0	0	0	0	0
disabled	10_60-ssh-agent-macos.zsh	      92	    3390	0	0	0	0	0	0
disabled	10_70-completion.zsh	      37	    1272	0	1	0	0	1	0
disabled	20_00-plugin-metadata.zsh	     529	   18551	0	0	0	0	0	10
disabled	20_02-plugin-environments.zsh	     184	    5802	0	0	0	1	0	0
disabled	20_06-plugin-integration.zsh	     287	   12586	0	0	0	1	1	0
disabled	20_10-deferred.zsh	     182	    5746	1	0	0	0	0	6
disabled	20_12-plugin-deferred-core.zsh	     176	    7255	0	0	0	0	0	5
disabled	20_14-plugin-deferred-utils.zsh	     237	   10543	0	0	0	0	0	5
disabled	30_00-ui-enhancements.zsh	      66	    2480	0	0	1	0	1	0
disabled	30_10-aliases.zsh	     539	   17474	0	0	1	0	0	0
disabled	30_20-keybindings.zsh	     184	    6898	0	0	0	1	0	0
disabled	90_00-disable-zqs-autoupdate.zsh	       9	     377	0	0	1	0	0	0
disabled	99_99-splash.zsh	     146	    5061	0	1	0	0	0	4
