scope	file	lines	modifies_path	background_ops	uses_compinit	completion_styles	security_hashing	performance_hooks	dev_tooling	alias_defs	bindkey_defs	env_sanitization	plugin_bridge
active	00_20-plugin-integrity-core.zsh	     233	0	0	0	0	1	0	0	0	0	0	0
active	00_21-plugin-integrity-advanced.zsh	     316	0	0	0	0	1	0	1	0	0	0	1
active	00_60-options.zsh	     150	0	0	0	0	0	0	1	0	0	0	0
active	20_04-essential.zsh	      94	1	0	0	0	0	1	1	0	0	0	0
active	30_30-prompt.zsh	     173	0	0	0	1	0	0	1	0	0	0	0
legacy	00_00-.zshrc.zqs.zsh	     987	1	0	0	1	0	1	1	1	1	1	0
legacy	00_02-standard-helpers.zsh	     481	0	0	0	0	0	1	0	0	0	0	0
legacy	00_04-unified-logging.zsh	     112	0	0	0	0	0	0	0	0	0	0	0
legacy	00_10-environment.zsh	      44	0	0	0	0	0	0	1	0	0	0	0
legacy	00_12-source-execute-detection.zsh	     425	0	0	0	0	0	0	0	0	0	0	0
legacy	00_14-git-homebrew-priority.zsh	      93	0	0	0	0	0	0	1	0	0	0	0
legacy	00_20-completion-management.zsh	     378	0	0	1	1	0	0	0	0	0	0	0
legacy	00_22-async-cache.zsh	     502	0	1	0	0	1	0	0	0	0	0	0
legacy	00_28-completion-finalization.zsh	      22	0	0	1	0	0	0	0	0	0	0	0
legacy	00_30-performance-monitoring.zsh	     580	0	1	0	0	0	0	0	0	0	0	0
legacy	00_40-review-cycles.zsh	     544	0	0	0	0	0	0	0	0	0	1	0
legacy	00_50-environment-sanitization.zsh	     396	1	0	0	0	0	0	0	0	0	0	0
legacy	00_70-functions-core.zsh	     101	1	0	0	0	0	1	0	0	0	0	0
legacy	00_72-utility-functions.zsh	     399	0	0	0	0	0	0	1	1	0	0	0
legacy	00_74-tool-functions.zsh	     183	0	0	0	0	0	0	0	0	0	0	0
legacy	00_76-context-aware-config.zsh	     515	1	0	0	0	0	0	1	0	0	0	0
legacy	00_80-security-check.zsh	     451	0	0	0	0	0	0	0	0	0	0	0
legacy	00_90-validation.zsh	     399	0	0	0	0	0	0	0	0	0	0	0
legacy	10_00-development-tools.zsh	     252	0	0	0	0	0	0	1	0	0	0	0
legacy	10_10-path-tools.zsh	      60	0	0	0	0	0	0	1	0	0	0	0
legacy	10_12-tool-environments.zsh	     323	1	0	0	0	0	0	1	0	0	1	0
legacy	10_14-git-vcs-config.zsh	     245	0	0	0	0	0	0	1	0	0	0	0
legacy	10_16-atuin-init.zsh	     127	0	0	0	0	0	1	1	0	1	1	0
legacy	10_50-development.zsh	      92	0	0	0	0	0	0	1	0	0	0	0
legacy	10_60-ssh-agent-macos.zsh	      92	0	0	0	0	0	0	1	0	0	0	0
legacy	10_70-completion.zsh	      37	0	0	1	1	0	0	0	0	0	0	0
legacy	20_00-plugin-metadata.zsh	     529	0	0	0	0	0	0	1	0	0	0	1
legacy	20_02-plugin-environments.zsh	     184	0	0	0	0	0	1	1	0	1	1	0
legacy	20_06-plugin-integration.zsh	     287	0	0	0	1	0	1	1	0	1	1	1
legacy	20_10-deferred.zsh	     182	0	0	0	0	0	0	1	0	0	0	1
legacy	20_12-plugin-deferred-core.zsh	     176	0	0	0	0	0	0	0	0	0	0	1
legacy	20_14-plugin-deferred-utils.zsh	     237	0	0	0	0	0	0	1	0	0	0	1
legacy	30_00-ui-enhancements.zsh	      66	0	0	0	1	0	0	0	1	0	0	0
legacy	30_10-aliases.zsh	     539	0	0	0	0	0	0	1	1	0	0	0
legacy	30_20-keybindings.zsh	     184	0	0	0	0	0	0	1	0	1	0	0
legacy	90_00-disable-zqs-autoupdate.zsh	       9	0	0	0	0	0	0	0	1	0	0	0
legacy	99_99-splash.zsh	     146	0	0	1	0	0	1	0	0	0	0	0
